slot,name,tone_bytes_hex,volume,bender_dco,bender_vcf,bender_lfo,portamento,key_mode,transpose,master_tune_cents,velocity,unit_character,product_chorus_noise,polyphony,oversample_factor,frames,sample_peak,sample_peak_dbfs,samples_over_0dbfs,max_400ms_stereo_rms,max_400ms_stereo_rms_dbfs,relative_gate_db,gated_windows,total_windows,relative_gated_stereo_rms,relative_gated_stereo_rms_dbfs,corpus_median_gated_rms_dbfs,gated_delta_from_median_db,crest_db,warnings
A23,"Combo Organ",4b150939003f4604006d6000302b2e3d2c0d,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.201128542,-13.930525874,0,0.064117443,-23.860476140,-43.860476140,216,259,0.031290556,-30.091734284,-31.649175361,1.557441077,16.161208410,""
A24,"Calliope",52280b0000571b11003859077f7f06304a0b,0.768999994,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.284256637,-10.925787724,0,0.070074620,-23.088785014,-43.088785014,215,259,0.034113815,-29.341394180,-31.649175361,2.307781181,18.415606456,""
A25,"Donald Pluck",4c1509390049690f004e5202052b0a7f2c07,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.156567752,-16.105953660,0,0.048157097,-26.346794098,-46.346794098,216,259,0.022849398,-32.822504602,-31.649175361,-1.173329241,16.716550943,""
A26,"Celeste* (1 oct.up)",1c00000000211836002660002c00510f2c19,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",12,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.191425979,-14.359982457,0,0.045081984,-26.919939564,-46.919939564,35,259,0.020839601,-33.622212189,-31.649175361,-1.973036828,19.262229732,""
A27,"Elect. Piano I",3b00000000101f3d06237f01552b28002901,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.157498568,-16.054467794,0,0.031304667,-30.087818134,-50.087818134,111,259,0.011545201,-38.751969852,-31.649175361,-7.102794491,22.697502058,""
A28,"Elect. Piano II",000000470032450700506600440016004911,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.216499895,-13.290846204,0,0.068648211,-23.267415494,-43.267415494,97,259,0.024683948,-32.151707405,-31.649175361,-0.502532044,18.860861200,""
A31,"Clock Chimes* (1 oct. up)",3b000000162c7f00007f68003000337f441b,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",12,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.169802323,-15.401127454,0,0.038212276,-28.355941780,-48.355941780,60,259,0.015166012,-36.382572360,-31.649175361,-4.733396999,20.981444907,""
A32,"Steel Drums",2135002009472e1a007f7f001a0025214a1b,0.744000018,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.420002699,-7.534958377,0,0.071884727,-22.867267388,-42.867267388,28,259,0.037161235,-28.598197284,-31.649175361,3.050978077,21.063238907,""
A33,"Xylophone",00000000001d183600337f001d1d260f2c19,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.325484872,-9.749383842,0,0.053143116,-25.491059762,-45.491059762,25,259,0.029140267,-30.710129415,-31.649175361,0.939045946,20.960745573,""
A34,"Brass III",341400230042180b000c7f3a645e25165219,0.393999994,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.271204710,-11.334055447,0,0.070871811,-22.990529438,-42.990529438,216,259,0.037345272,-28.555287577,-31.649175361,3.093887784,17.221232130,""
A35,"Fanfare",2f000046002c002000432148684b31325918,0.596000016,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.264919341,-11.537726692,0,0.068532587,-23.282057476,-43.282057476,231,259,0.034760019,-29.178399907,-31.649175361,2.470775454,17.640673216,""
A36,"String III",301b006600470e000054493f1f7f2d001a10,0.616999984,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.274875641,-11.217274902,0,0.073947154,-22.621570778,-42.621570778,234,259,0.035144948,-29.082741834,-31.649175361,2.566433527,17.865466932,""
A37,"Pizzicato",3c12006600420205002a7f000b000c005a00,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.276460469,-11.167339198,0,0.018414824,-34.696648785,-54.696648785,19,259,0.011355032,-38.896232668,-31.649175361,-7.247057307,27.728893470,""
A38,"High Strings",3a0e00660054080200474d122c7f28000c08,0.774999976,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.260619730,-11.679854198,0,0.069806662,-23.122062539,-43.122062539,224,259,0.032495928,-29.763421151,-31.649175361,1.885754210,18.083566954,""
A41,"Bass clarinet",342d080000302419083a680b4b0019002911,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.172619492,-15.258203325,0,0.057274052,-24.840841873,-44.840841873,114,259,0.020245142,-33.873583401,-31.649175361,-2.224408040,18.615380075,""
A42,"English Horn",2f2d096600463007001b7f08511a10002a01,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.130132869,-17.712259915,0,0.030375543,-30.349518934,-50.349518934,144,259,0.009452893,-40.488705594,-31.649175361,-8.839530233,22.776445679,""
A43,"Brass Ensemble",342d0066002e2c1d013b67106761221f5211,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.258727968,-11.743132456,0,0.062479596,-24.085235753,-44.085235753,219,259,0.030032930,-30.448045839,-31.649175361,1.201129522,18.704913384,""
A44,"Guitar",563a0041000c0f47001e600034361f003911,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.243303150,-12.277045368,0,0.070196294,-23.073716273,-43.073716273,157,259,0.021540522,-33.334875469,-31.649175361,-1.685700108,21.057830100,""
A45,"Koto",5a1c005e00283a1d004b7f00380027024a01,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.218034148,-13.229509649,0,0.040443914,-27.862936485,-47.862936485,35,259,0.016595638,-35.600121047,-31.649175361,-3.950945686,22.370611398,""
A46,"Dark Pluck",1f00005700263d1b00475a00340f3f610a19,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.344158113,-9.264839763,0,0.088357180,-21.075163023,-41.075163023,165,259,0.029957768,-30.469810834,-31.649175361,1.179364527,21.204971071,""
A47,"Funky I",04000049001f1733002947001e240240591d,0.354000002,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.165702388,-15.613424671,0,0.054005690,-25.351209693,-45.351209693,218,259,0.032904388,-29.654923617,-31.649175361,1.994251744,14.041498946,""
A48,"Synth Bass I (unison)",3a1001393220004200234b00220024662919,0.246999994,0.300000012,0.000000000,0.000000000,0.000000000,"Solo Unison",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.182832718,-14.758921694,0,0.057829540,-24.757005291,-44.757005291,32,259,0.036935198,-28.651191287,-31.649175361,2.997984074,13.892269593,""
A51,"Lead I",4858120000286124003463002d4900002a1d,0.644999981,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.227802560,-12.848828004,0,0.071400894,-22.925927017,-42.925927017,218,259,0.037082304,-28.616665898,-31.649175361,3.032509463,15.767837894,""
A52,"Lead II",18580035002d002b00343801175b4b4f3914,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.186636344,-14.580075648,0,0.064859421,-23.760538636,-43.760538636,219,259,0.033577971,-29.478910924,-31.649175361,2.170264437,14.898835276,""
A53,"Lead III",56471566003c1f12014c7f0042300b003215,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.247885898,-12.114963591,0,0.068855158,-23.241270362,-43.241270362,219,259,0.034705367,-29.192067289,-31.649175361,2.457108072,17.077103697,""
A54,"Funky II",0400003000051751002964001e2702394a15,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.363657534,-8.786148209,0,0.066539933,-23.538352793,-43.538352793,66,259,0.024728346,-32.136098701,-31.649175361,-0.486923340,23.349950492,""
A55,"Synth Bass II",5a150000002b002f00004e002509162d311c,0.790000021,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.248847365,-12.081339058,0,0.075994849,-22.384316876,-42.384316876,216,259,0.037493760,-28.520820154,-31.649175361,3.128355207,16.439481096,""
A56,"Funky III",040000096526362d000a4f001800027f391d,0.337000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.155733794,-16.152342721,0,0.060455818,-24.371238007,-44.371238007,182,259,0.035468165,-29.003225652,-31.649175361,2.645949709,12.850882931,""
A57,"Thud Wah",3e000066084e592200006a0000662d201a1a,0.321999997,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.233970895,-12.616763258,0,0.072404604,-22.804676302,-42.804676302,247,259,0.034076024,-29.351021591,-31.649175361,2.298153770,16.734258334,""
A58,"Going Up",000000641c4f7f2500414b006c127f002213,0.800000012,0.300000012,0.000000000,0.000000000,0.000000000,"Poly 1",0,0.000000000,0.000000000,1.000000000,0.298580378,6,4,1260000,0.119261466,-18.469997132,0,0.038498465,-28.291131770,-48.291131770,259,259,0.014415078,-36.823659855,-31.649175361,-5.174484494,18.353662723,""
